Category,Background,Tx2TXT Description,Developer Description,Suspicious Point,address
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract to a third-party address, 
and then transfers the remaining balance to the user.
",Transfers sender's tokens to a given address ,transfer funds to an unknown third-party address,https://etherscan.io/address/0x3d8a10ce3228cb428cb56baa058d4432464ea25d#code
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract to a third-party address, 
and then transfers the remaining balance to the user.
",send ether to the fund collection wallet,transfer funds to an unknown third-party address,https://etherscan.io/address/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707#code
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract to a third-party address, 
and then transfers the remaining balance to the user.
",Transfers sender's tokens to a given address ,transfer funds to an unknown third-party address,https://etherscan.io/address/0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e#code
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract to a third-party address, 
and then transfers the remaining balance to the user.",Withdraw all tokens to contributing members .,transfer funds to an unknown third-party address,https://etherscan.io/address/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37#code
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract to a third-party address, 
and then transfers the remaining balance to the user.",Transfers sender's tokens to a given address ,transfer funds to an unknown third-party address,https://etherscan.io/address/0x7a4349a749e59a5736efb7826ee3496a2dfd5489#code
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract to a third-party address, 
and then transfers the remaining balance to the user.",send ether to the fund collection wallet,transfer funds to an unknown third-party address,https://etherscan.io/address/0xd2018bfaa266a9ec0a1a84b061640faa009def76#code
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract to a third-party address, 
and then transfers the remaining balance to the user.",Transfers sender's tokens to a given address ,transfer funds to an unknown third-party address,https://etherscan.io/address/0xdb1c55f6926e7d847ddf8678905ad871a68199d2#code
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract to a third-party address, 
and then transfers the remaining balance to the user.",Transfers sender's tokens to a given address ,transfer funds to an unknown third-party address,https://etherscan.io/address/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf#code
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",each next attempt is more expensive than all previous ones,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x0bf0f154b176c5d90f24e506f10f7f583eb5334d
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ","guessed number is correct, cost of attempt is paid and
each next attempt should be more expensive than previous
send the jack pot","try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x0e77cb9d68b8bf3cc41561f8eda6c71e4a4b9ef7
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ","each next attempt should be more expensive than previous ones
send the jack pot","try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x15d0e6cedd8ecc39daa60c63a3a5830eeca7d720
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ","To set Pin you need to know the previous one and it has to be bigger than 1111
To prevent random guesses, you have to send some money","try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x1ebf20031b03b80e5f6fdbeb9f86d44145224006
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ","Store some money with a 4 digit code
To prevent random guesses, you have to send some money
Random Guess = money lost","try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x35c3034556b81132e682db2f879e6f30721b847c
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Lottery DApp,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x3bafb3af16203c817ee9208c6b8a748398dae689
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Execute the external transfer of tokens .,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Execute the external transfer of tokens .,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x4fa6a6ae4b2c99a0520f9ffa0372eddc144af89f
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Execute the external transfer of tokens .,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x5aa88d2901c68fda244f1d0584400368d2c8e739
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Credit Deposit Bank service,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x5bb52e85c21ca3df3c71da6d03be19cff89e7cf9
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",You have to risk as much as the contract do,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x69bfbf000bd39444af2efba733829b04211252bc
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ","This is free software and you are welcome to redistribute it under certain conditions.
ABSOLUTELY NO WARRANTY; for details visit:","try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x92e63be3a88df80f64ba4f829dd7ddf97e8b750b
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ","Store some money with a 4 digit code
To prevent random guesses, you have to send some money
Random Guess = money lost","try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x9cdfd805d73b4837bf3f7b2296996aaecc881e86
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ","Store some money with a 4 digit code
Previous guesses makes the number easier to guess so you have to pay more","try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x9efc7a38552e63534a8e9b9558adabd73297f91d
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Previous Guesses makes the number easier to guess so you have to pay more,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x9f54d912a029380f2743aaf4ddd28c3f207cd719
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Previous Guesses makes the number easier to guess so you have to pay more,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0xc7e4a9147601fdbc7d1c2fb8b6c2ffcb2469f293
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Previous Guesses makes the number easier to guess so you have to pay more,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0xc9c8ef2588647e6f5acb6aaee637264d2632609d
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Previous Guesses makes the number easier to guess so you have to pay more,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0xcbf5442a3573f099b255c1bcc2cffb5613ef6257
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Transfers sender's tokens to a given address ,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0xdf77e4a81fba17e0cc39dba521aa4167f388ed7c
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Transfers sender's tokens to a given address ,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0xe0527863df8abcb3caca7da329eb9c747822aa98
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Transfers sender's tokens to a given address ,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0xe26e90598190a98c92c75204c9a4ecfe5983f8e0
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ","each next attempt should be more expensive than previous ones
send the jack pot","try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0xfd1e3d3e641f224ce8e1117866cf3f01ed2d5d9f
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Transfers sender's tokens to a given address ,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ","Guess the block time and win the 
balance. Proceed at your own risk.
Open for all to play.","try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x55654a38372617aedd583009f76e28700e48fdad
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Transfers sender's tokens to a given address ,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0xf886426fbd94a93e339223e8e9bcda21bee6f314
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Transfers sender's tokens to a given address ,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x7f090f3f6ac623b58df48394e678f736e0b47b95
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Transfers sender's tokens to a given address ,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x9cf6e29510f43fd2b397a919cca7d88888ba5d3b
malicious,"Here is what you can expect from an online gambling game:

You must pay to place a bet in this game. 
If you are the winner, the contract must transfer the jackpot (all of its accumulated balance) to your account.","The function transfers the total balance of the contract and 
the ether sent to the user, under an unreachable condition. ",Transfers sender's tokens to a given address ,"try to mislead users to believe that 
the contract can be used to transfer funds",https://etherscan.io/address/0x90a9c72d57386e6b040c177909ee75cb4d930054
